Narrative Category,Support,Precision,Recall,F1-Score
Populist Narrative,1324,0.7049180327868853,0.5845921450151057,0.639141205615194
Nativist Narrative,138,0.49107142857142855,0.39855072463768115,0.44
Denialist Narrative,1192,0.7264618434093162,0.6149328859060402,0.6660608814175375
Declinist Narrative,71,0.2857142857142857,0.08450704225352113,0.13043478260869565
Apocolypticist Narrative,595,0.6063348416289592,0.4504201680672269,0.5168756027000965
Revisionist Narrative,222,0.4921875,0.28378378378378377,0.36
